return_id,date,product_id,customer_id,quantity,return_reason,return_amount,refund_processed
RETURN20240061,2024-11-04,P06,C02,10,duplicate,148.57,True
RETURN20240062,2024-12-02,P01,C01,9,changed_mind,267.91,False
RETURN20240063,2024-04-22,P04,C06,10,other,331.52,True
RETURN20240064,2024-09-26,P03,C03,18,quality_issue,630.89,False
RETURN20240065,2024-12-27,P05,C04,9,changed_mind,192.44,True
RETURN20240066,2024-06-05,P06,C05,7,changed_mind,61.21,True
RETURN20240067,2024-12-23,P04,C06,15,quality_issue,613.47,True
RETURN20240068,2024-05-18,P03,C05,13,quality_issue,304.66,False
RETURN20240069,2024-09-10,P01,C04,13,changed_mind,258.88,True
RETURN20240070,2024-12-03,P04,C05,2,quality_issue,80.41,False
RETURN20240071,2024-01-14,P05,C03,9,other,126.44,True
RETURN20240072,2024-06-23,P06,C05,14,quality_issue,314.53,False
RETURN20240073,2024-12-13,P03,C05,15,other,748.23,False
RETURN20240074,2024-03-24,P04,C04,8,quality_issue,222.73,False
RETURN20240075,2024-02-13,P02,C05,10,duplicate,162.19,False
RETURN20240076,2024-07-04,P03,C06,9,other,215.43,False
RETURN20240077,2024-10-18,P06,C03,9,duplicate,152.16,False
RETURN20240078,2024-01-05,P04,C01,12,other,333.58,True
RETURN20240079,2024-10-23,P01,C03,20,quality_issue,525.47,False
RETURN20240080,2024-05-21,P03,C04,5,changed_mind,130.64,True
RETURN20240081,2024-04-29,P01,C06,2,other,68.41,False
RETURN20240082,2024-01-22,P05,C06,8,shipping_damage,186.22,True
RETURN20240083,2024-12-13,P03,C05,2,shipping_damage,53.53,False
RETURN20240084,2024-02-27,P05,C01,8,other,118.44,False
RETURN20240085,2024-02-06,P06,C04,10,shipping_damage,166.72,False
RETURN20240086,2024-06-20,P04,C06,12,shipping_damage,497.44,True
RETURN20240087,2024-07-07,P01,C03,5,quality_issue,95.53,True
RETURN20240088,2024-06-09,P05,C06,17,shipping_damage,448.15,False
RETURN20240089,2024-10-25,P01,C06,5,quality_issue,189.74,True
RETURN20240090,2024-10-16,P05,C05,18,other,406.91,True
RETURN20240091,2024-11-06,P04,C06,17,shipping_damage,506.29,False
RETURN20240092,2024-05-04,P03,C02,12,shipping_damage,566.38,True
RETURN20240093,2024-12-20,P02,C04,14,shipping_damage,414.69,True
RETURN20240094,2024-07-04,P06,C04,20,duplicate,233.54,True
RETURN20240095,2024-10-02,P02,C04,19,other,443.3,False
RETURN20240096,2024-06-23,P03,C01,3,other,172.53,False
RETURN20240097,2024-11-19,P02,C02,15,quality_issue,362.22,False
RETURN20240098,2024-02-21,P02,C01,14,changed_mind,528.67,True
RETURN20240099,2024-09-20,P05,C04,14,duplicate,285.58,True
RETURN20240100,2024-12-30,P03,C01,11,shipping_damage,523.48,True
RETURN20240101,2024-01-24,P01,C06,12,duplicate,402.4,False
RETURN20240102,2024-05-28,P04,C06,5,other,270.8,True
RETURN20240103,2024-03-18,P01,C05,19,duplicate,453.0,False
RETURN20240104,2024-03-31,P05,C06,19,quality_issue,244.86,False
RETURN20240105,2024-06-23,P01,C05,17,other,508.32,False
RETURN20240106,2024-05-26,P03,C04,11,changed_mind,274.71,True
RETURN20240107,2024-08-08,P05,C03,19,shipping_damage,231.64,False
RETURN20240108,2024-03-25,P01,C03,9,changed_mind,333.25,False
RETURN20240109,2024-05-12,P05,C01,8,changed_mind,93.2,True
RETURN20240110,2024-01-15,P05,C01,18,changed_mind,178.24,True
RETURN20240111,2024-07-08,P02,C03,19,duplicate,550.83,False
RETURN20240112,2024-05-31,P01,C06,4,duplicate,108.09,True
RETURN20240113,2024-03-11,P03,C06,4,quality_issue,217.59,True
RETURN20240114,2024-02-08,P03,C02,17,duplicate,748.57,True
RETURN20240115,2024-12-27,P06,C03,2,other,26.93,True
RETURN20240116,2024-11-20,P06,C01,8,duplicate,162.46,True
RETURN20240117,2024-12-10,P02,C03,16,changed_mind,521.05,False
RETURN20240118,2024-03-08,P02,C06,3,changed_mind,51.78,True
RETURN20240119,2024-09-08,P05,C05,7,quality_issue,120.31,False
RETURN20240120,2024-11-10,P04,C06,19,shipping_damage,665.69,True
RETURN20240121,2024-06-02,P02,C03,16,duplicate,502.11,False
RETURN20240122,2024-05-31,P01,C02,4,shipping_damage,111.38,False
RETURN20240123,2024-06-15,P02,C06,14,duplicate,528.0,True
RETURN20240124,2024-06-26,P06,C04,5,duplicate,112.97,False
RETURN20240125,2024-11-03,P04,C06,8,shipping_damage,273.86,False
RETURN20240126,2024-02-01,P05,C03,9,duplicate,149.6,False
RETURN20240127,2024-08-05,P04,C03,2,changed_mind,61.17,True
RETURN20240128,2024-06-06,P04,C04,8,changed_mind,314.63,True
RETURN20240129,2024-11-10,P05,C03,5,quality_issue,128.21,True
RETURN20240130,2024-07-13,P01,C06,11,other,197.46,True
RETURN20240131,2024-09-22,P02,C03,18,changed_mind,638.55,False
RETURN20240132,2024-04-27,P03,C02,12,changed_mind,494.66,True
RETURN20240133,2024-01-07,P01,C01,17,duplicate,544.2,True
RETURN20240134,2024-03-21,P03,C03,1,changed_mind,22.18,True
RETURN20240135,2024-07-12,P06,C04,5,shipping_damage,115.66,True
RETURN20240136,2024-02-07,P05,C06,14,other,247.04,True
RETURN20240137,2024-02-18,P06,C05,13,other,264.94,False
RETURN20240138,2024-08-05,P05,C06,1,duplicate,12.49,False
RETURN20240139,2024-12-01,P05,C04,13,quality_issue,165.93,False
RETURN20240140,2024-10-14,P03,C04,10,other,442.82,False
RETURN20240141,2024-01-09,P04,C06,13,other,635.84,False
RETURN20240142,2024-04-24,P05,C01,13,duplicate,215.32,True
RETURN20240143,2024-11-25,P03,C03,5,quality_issue,136.62,True
RETURN20240144,2024-04-16,P04,C05,8,duplicate,304.46,False
RETURN20240145,2024-09-24,P06,C05,8,duplicate,92.45,False
RETURN20240146,2024-06-21,P02,C01,11,other,301.62,True
RETURN20240147,2024-05-17,P06,C02,18,other,311.83,True
RETURN20240148,2024-06-13,P04,C06,16,quality_issue,832.99,False
RETURN20240149,2024-12-24,P01,C04,5,changed_mind,147.15,True
RETURN20240150,2024-03-26,P02,C04,4,duplicate,104.39,False
RETURN20240151,2024-03-12,P06,C05,14,shipping_damage,146.43,False
RETURN20240152,2024-12-12,P03,C05,11,shipping_damage,484.58,True
RETURN20240153,2024-03-13,P03,C05,7,shipping_damage,307.48,False
RETURN20240154,2024-08-29,P04,C02,11,changed_mind,311.38,False
RETURN20240155,2024-01-06,P03,C04,6,quality_issue,328.98,True
RETURN20240156,2024-06-08,P06,C02,7,other,114.5,True
RETURN20240157,2024-02-01,P05,C04,20,shipping_damage,373.05,True
RETURN20240158,2024-06-25,P06,C01,7,duplicate,117.77,False
RETURN20240159,2024-07-07,P05,C04,9,changed_mind,99.98,True
RETURN20240160,2024-02-22,P06,C02,9,other,87.97,False
RETURN20240161,2024-06-18,P05,C05,20,other,392.68,False
RETURN20240162,2024-04-17,P02,C01,8,quality_issue,352.62,True
RETURN20240163,2024-03-14,P02,C04,1,quality_issue,18.66,False
RETURN20240164,2024-08-05,P06,C04,11,quality_issue,132.14,False
RETURN20240165,2024-07-12,P04,C06,16,other,486.15,True
RETURN20240166,2024-11-05,P02,C02,9,duplicate,285.75,False
RETURN20240167,2024-12-21,P03,C06,4,duplicate,187.46,True
RETURN20240168,2024-01-13,P03,C04,12,changed_mind,565.03,True
RETURN20240169,2024-07-14,P03,C02,1,shipping_damage,39.13,True
RETURN20240170,2024-10-27,P03,C03,4,shipping_damage,176.63,True
RETURN20240171,2024-11-06,P03,C01,9,duplicate,220.5,False
RETURN20240172,2024-05-20,P06,C01,19,duplicate,480.61,False
RETURN20240173,2024-09-08,P02,C04,18,quality_issue,486.27,True
RETURN20240174,2024-12-27,P06,C02,5,quality_issue,44.72,True
RETURN20240175,2024-06-09,P01,C05,9,changed_mind,309.64,True
RETURN20240176,2024-06-19,P06,C03,6,other,127.57,False
RETURN20240177,2024-09-21,P01,C06,13,quality_issue,212.45,True
RETURN20240178,2024-05-16,P01,C02,15,other,272.17,False
RETURN20240179,2024-03-29,P06,C06,1,other,13.61,False
RETURN20240180,2024-08-26,P05,C06,3,duplicate,33.89,True
RETURN20240181,2024-04-03,P06,C01,6,quality_issue,117.52,True
RETURN20240182,2024-04-21,P06,C03,15,changed_mind,185.59,True
RETURN20240183,2024-03-08,P03,C01,13,changed_mind,440.19,False
RETURN20240184,2024-07-30,P02,C02,9,changed_mind,401.73,False
RETURN20240185,2024-12-23,P04,C03,3,other,98.45,False
RETURN20240186,2024-11-19,P06,C02,2,other,31.96,True
RETURN20240187,2024-12-25,P04,C03,10,other,370.0,False
RETURN20240188,2024-02-16,P05,C02,9,shipping_damage,86.88,True
RETURN20240189,2024-09-21,P06,C06,6,duplicate,105.4,False
RETURN20240190,2024-10-15,P04,C06,19,shipping_damage,911.44,False
RETURN20240191,2024-01-05,P02,C04,16,quality_issue,319.66,False
RETURN20240192,2024-06-05,P02,C04,18,quality_issue,460.11,False
RETURN20240193,2024-10-30,P05,C06,14,duplicate,340.28,False
RETURN20240194,2024-07-10,P05,C03,16,shipping_damage,171.85,True
RETURN20240195,2024-09-16,P01,C04,14,other,369.39,True
RETURN20240196,2024-03-24,P05,C02,10,other,139.35,True
RETURN20240197,2024-03-07,P06,C03,2,shipping_damage,45.34,True
RETURN20240198,2024-06-26,P04,C04,6,changed_mind,162.59,True
RETURN20240199,2024-06-03,P03,C01,6,changed_mind,217.97,True
RETURN20240200,2024-03-19,P06,C05,12,changed_mind,151.93,False
RETURN20240201,2024-10-08,P06,C04,7,duplicate,161.34,True
RETURN20240202,2024-02-19,P04,C02,11,changed_mind,395.08,False
RETURN20240203,2024-05-24,P06,C06,14,other,142.59,False
RETURN20240204,2024-12-08,P06,C05,1,other,10.93,True
RETURN20240205,2024-07-07,P03,C03,17,other,803.04,False
RETURN20240206,2024-02-09,P06,C02,5,quality_issue,60.34,False
RETURN20240207,2024-02-17,P03,C04,6,shipping_damage,199.26,False
RETURN20240208,2024-01-18,P03,C04,6,other,296.97,False
RETURN20240209,2024-02-12,P03,C06,4,duplicate,214.2,True
RETURN20240210,2024-03-23,P03,C02,19,duplicate,430.55,False
RETURN20240211,2024-08-04,P01,C03,14,quality_issue,400.86,False
RETURN20240212,2024-09-14,P03,C04,11,shipping_damage,309.59,True
RETURN20240213,2024-08-05,P05,C04,3,shipping_damage,69.98,False
RETURN20240214,2024-04-11,P05,C05,15,duplicate,211.47,True
RETURN20240215,2024-09-07,P04,C03,2,shipping_damage,62.7,False
RETURN20240216,2024-12-11,P03,C01,18,shipping_damage,607.62,True
RETURN20240217,2024-08-16,P03,C03,2,shipping_damage,100.45,False
RETURN20240218,2024-05-07,P02,C01,18,changed_mind,535.32,False
RETURN20240219,2024-05-20,P03,C04,20,other,820.83,True
RETURN20240220,2024-02-09,P03,C03,2,quality_issue,67.53,True
RETURN20240221,2024-06-21,P06,C06,10,quality_issue,114.8,False
RETURN20240222,2024-11-30,P06,C01,14,changed_mind,266.53,False
RETURN20240223,2024-11-11,P05,C05,8,quality_issue,131.17,False
RETURN20240224,2024-04-20,P04,C03,6,quality_issue,235.64,True
RETURN20240225,2024-12-13,P03,C03,1,quality_issue,50.19,True
RETURN20240226,2024-05-20,P03,C04,20,shipping_damage,545.84,True
RETURN20240227,2024-01-10,P06,C03,8,shipping_damage,144.26,False
RETURN20240228,2024-10-28,P04,C06,20,duplicate,708.96,True
RETURN20240229,2024-06-24,P03,C03,12,changed_mind,501.93,False
RETURN20240230,2024-04-17,P05,C06,6,shipping_damage,100.86,True
RETURN20240231,2024-11-19,P04,C05,12,other,363.79,False
RETURN20240232,2024-06-10,P04,C06,15,other,549.47,False
RETURN20240233,2024-10-16,P04,C04,1,shipping_damage,41.45,False
RETURN20240234,2024-04-30,P04,C05,5,quality_issue,116.03,True
RETURN20240235,2024-04-18,P01,C05,10,changed_mind,319.69,False
RETURN20240236,2024-10-08,P04,C03,7,other,206.51,False
RETURN20240237,2024-11-18,P01,C06,11,other,272.92,False
RETURN20240238,2024-09-10,P04,C03,15,changed_mind,476.78,True
RETURN20240239,2024-09-29,P03,C04,6,quality_issue,226.31,False
RETURN20240240,2024-08-02,P04,C02,1,changed_mind,42.26,True
RETURN20240241,2024-11-02,P05,C06,14,shipping_damage,298.83,True
RETURN20240242,2024-10-18,P06,C04,3,quality_issue,65.35,False
RETURN20240243,2024-10-09,P05,C02,6,changed_mind,74.71,True
RETURN20240244,2024-06-14,P02,C03,3,changed_mind,100.05,False
RETURN20240245,2024-05-05,P06,C05,15,changed_mind,385.31,True
RETURN20240246,2024-11-05,P03,C02,8,quality_issue,178.28,True
RETURN20240247,2024-12-15,P06,C04,17,duplicate,186.32,False
RETURN20240248,2024-05-13,P06,C05,4,other,77.41,True
RETURN20240249,2024-08-12,P04,C06,2,duplicate,93.45,True
RETURN20240250,2024-07-05,P04,C06,17,duplicate,612.14,True
RETURN20240251,2024-02-23,P02,C03,19,quality_issue,692.78,False
RETURN20240252,2024-07-30,P06,C03,5,duplicate,65.23,True
RETURN20240253,2024-06-17,P06,C06,3,duplicate,59.85,False
RETURN20240254,2024-06-24,P03,C06,15,duplicate,696.83,False
RETURN20240255,2024-10-31,P01,C02,5,quality_issue,103.05,False
RETURN20240256,2024-10-15,P03,C06,10,changed_mind,415.32,False
RETURN20240257,2024-08-31,P06,C04,10,changed_mind,103.37,False
RETURN20240258,2024-07-15,P03,C06,8,changed_mind,317.18,True
RETURN20240259,2024-10-26,P01,C03,12,other,315.04,True
RETURN20240260,2024-06-25,P06,C02,19,shipping_damage,339.87,False
RETURN20240261,2024-09-05,P06,C02,17,duplicate,377.23,True
RETURN20240262,2024-12-08,P01,C03,8,changed_mind,144.27,True
RETURN20240263,2024-11-28,P02,C03,16,quality_issue,599.87,True
RETURN20240264,2024-04-13,P03,C06,2,quality_issue,112.52,True
RETURN20240265,2024-05-18,P05,C05,18,quality_issue,327.94,True
RETURN20240266,2024-05-05,P03,C06,6,changed_mind,190.87,False
RETURN20240267,2024-03-31,P01,C05,9,quality_issue,305.28,True
RETURN20240268,2024-03-08,P05,C03,2,changed_mind,36.17,False
RETURN20240269,2024-08-25,P01,C05,2,quality_issue,38.37,True
RETURN20240270,2024-08-14,P01,C04,7,other,131.19,False
RETURN20240271,2024-06-02,P05,C01,19,quality_issue,400.58,False
RETURN20240272,2024-11-25,P02,C05,20,quality_issue,470.02,False
RETURN20240273,2024-11-03,P03,C04,6,duplicate,238.87,False
RETURN20240274,2024-05-15,P05,C02,11,other,187.73,False
RETURN20240275,2024-02-27,P02,C04,1,other,27.08,True
RETURN20240276,2024-04-01,P01,C04,10,duplicate,216.46,True
RETURN20240277,2024-04-09,P01,C02,7,shipping_damage,154.77,False
RETURN20240278,2024-02-22,P06,C03,20,changed_mind,258.89,True
RETURN20240279,2024-07-21,P02,C02,20,shipping_damage,843.84,False
RETURN20240280,2024-11-30,P05,C04,9,shipping_damage,147.82,False
RETURN20240281,2024-07-08,P02,C03,11,shipping_damage,316.84,False
RETURN20240282,2024-10-15,P04,C04,1,duplicate,23.54,False
RETURN20240283,2024-06-30,P06,C02,15,quality_issue,333.41,True
RETURN20240284,2024-04-16,P06,C06,9,shipping_damage,80.07,False
RETURN20240285,2024-07-14,P03,C05,18,changed_mind,849.65,False
RETURN20240286,2024-05-20,P01,C01,8,duplicate,287.3,False
RETURN20240287,2024-01-24,P06,C04,16,other,268.17,True
RETURN20240288,2024-02-21,P01,C06,11,shipping_damage,272.64,False
RETURN20240289,2024-02-26,P04,C02,3,duplicate,140.7,True
RETURN20240290,2024-10-28,P03,C05,7,duplicate,221.62,False
RETURN20240291,2024-10-12,P05,C03,1,quality_issue,22.11,False
RETURN20240292,2024-07-03,P04,C06,7,duplicate,185.22,False
RETURN20240293,2024-06-19,P02,C06,9,quality_issue,166.33,False
RETURN20240294,2024-08-06,P04,C04,2,quality_issue,110.11,False
RETURN20240295,2024-01-09,P05,C04,2,shipping_damage,49.18,False
RETURN20240296,2024-05-24,P05,C03,3,other,35.22,True
RETURN20240297,2024-09-29,P02,C05,3,duplicate,96.7,True
RETURN20240298,2024-02-07,P06,C04,9,changed_mind,166.25,True
RETURN20240299,2024-04-03,P06,C05,11,duplicate,241.46,False
RETURN20240300,2024-10-21,P03,C01,20,quality_issue,479.88,False
RETURN20240301,2024-08-06,P02,C03,8,shipping_damage,241.81,True
RETURN20240302,2024-10-21,P03,C06,19,changed_mind,527.34,True
RETURN20240303,2024-02-21,P01,C05,20,quality_issue,750.9,False
RETURN20240304,2024-02-05,P03,C03,8,changed_mind,275.72,False
RETURN20240305,2024-05-18,P02,C02,12,duplicate,206.25,False
RETURN20240306,2024-01-14,P04,C06,7,duplicate,242.15,True
RETURN20240307,2024-04-15,P04,C05,4,changed_mind,138.76,True
RETURN20240308,2024-03-24,P02,C01,16,shipping_damage,594.15,False
RETURN20240309,2024-07-31,P02,C02,3,shipping_damage,89.98,True
RETURN20240310,2024-08-21,P01,C01,13,duplicate,538.2,True
RETURN20240311,2024-06-30,P03,C03,3,shipping_damage,90.85,True
RETURN20240312,2024-11-29,P06,C04,16,shipping_damage,285.81,False
RETURN20240313,2024-01-24,P02,C02,6,changed_mind,178.46,True
RETURN20240314,2024-12-21,P04,C01,2,changed_mind,102.01,False
RETURN20240315,2024-07-09,P05,C04,6,changed_mind,146.92,True
RETURN20240316,2024-12-08,P02,C03,4,quality_issue,121.85,False
RETURN20240317,2024-07-25,P06,C03,9,quality_issue,189.7,False
RETURN20240318,2024-01-15,P04,C01,5,quality_issue,210.51,True
RETURN20240319,2024-03-21,P01,C01,12,quality_issue,330.2,True
RETURN20240320,2024-02-27,P04,C04,14,other,532.46,True
RETURN20240321,2024-06-08,P04,C04,9,other,274.5,True
RETURN20240322,2024-09-01,P04,C06,19,changed_mind,678.86,True
RETURN20240323,2024-04-25,P06,C01,4,shipping_damage,92.32,True
RETURN20240324,2024-05-07,P02,C03,6,shipping_damage,152.99,False
RETURN20240325,2024-12-08,P05,C05,17,shipping_damage,380.29,True
RETURN20240326,2024-06-16,P04,C03,5,quality_issue,233.64,False
RETURN20240327,2024-11-19,P01,C02,6,quality_issue,194.36,True
RETURN20240328,2024-03-23,P04,C03,1,duplicate,50.46,True
RETURN20240329,2024-11-17,P05,C04,15,duplicate,326.02,False
RETURN20240330,2024-03-01,P06,C03,17,shipping_damage,437.99,True
RETURN20240331,2024-05-10,P03,C04,18,quality_issue,837.12,False
RETURN20240332,2024-09-22,P03,C01,12,quality_issue,684.54,True
RETURN20240333,2024-02-18,P02,C04,4,shipping_damage,70.47,False
RETURN20240334,2024-06-06,P04,C04,18,quality_issue,1055.29,True
RETURN20240335,2024-07-22,P05,C02,5,changed_mind,119.03,True
RETURN20240336,2024-06-30,P05,C05,5,other,92.28,False
RETURN20240337,2024-10-03,P02,C06,17,changed_mind,291.61,True
RETURN20240338,2024-11-21,P06,C05,8,changed_mind,145.08,False
RETURN20240339,2024-04-13,P03,C01,13,other,725.36,False
RETURN20240340,2024-08-27,P03,C02,10,shipping_damage,435.71,False
RETURN20240341,2024-04-16,P06,C05,20,quality_issue,440.19,True
RETURN20240342,2024-03-14,P04,C02,8,changed_mind,332.78,False
RETURN20240343,2024-10-29,P02,C02,12,shipping_damage,213.21,False
RETURN20240344,2024-03-04,P06,C06,19,changed_mind,247.99,True
RETURN20240345,2024-12-10,P03,C03,1,other,34.63,True
RETURN20240346,2024-11-17,P05,C04,8,shipping_damage,190.24,False
RETURN20240347,2024-03-19,P01,C06,11,quality_issue,290.11,False
RETURN20240348,2024-02-27,P06,C04,14,duplicate,287.71,True
RETURN20240349,2024-09-24,P01,C01,20,shipping_damage,459.23,False
RETURN20240350,2024-12-25,P04,C04,2,shipping_damage,101.16,False
RETURN20240351,2024-05-08,P06,C05,11,shipping_damage,254.87,True
RETURN20240352,2024-01-07,P01,C06,16,duplicate,311.59,False
RETURN20240353,2024-12-06,P03,C01,16,other,584.7,False
RETURN20240354,2024-01-22,P05,C01,19,quality_issue,386.33,True
RETURN20240355,2024-05-02,P03,C05,20,duplicate,960.28,True
RETURN20240356,2024-06-26,P06,C04,15,other,144.28,False
RETURN20240357,2024-11-17,P06,C04,1,changed_mind,8.76,False
RETURN20240358,2024-02-20,P03,C04,1,shipping_damage,37.09,False
RETURN20240359,2024-06-29,P02,C03,15,shipping_damage,440.31,False
RETURN20240360,2024-03-23,P02,C05,18,duplicate,658.41,True
RETURN20240361,2024-09-12,P01,C03,12,changed_mind,281.31,False
RETURN20240362,2024-02-21,P06,C01,13,duplicate,230.72,False
RETURN20240363,2024-04-13,P03,C06,16,duplicate,859.04,True
RETURN20240364,2024-03-27,P03,C01,4,shipping_damage,209.46,False
RETURN20240365,2024-10-13,P05,C02,13,quality_issue,172.17,True
RETURN20240366,2024-12-30,P05,C06,13,changed_mind,296.65,False
RETURN20240367,2024-07-22,P02,C04,4,shipping_damage,136.2,True
RETURN20240368,2024-06-14,P02,C04,2,changed_mind,63.16,False
RETURN20240369,2024-01-14,P04,C02,8,changed_mind,269.55,True
RETURN20240370,2024-03-15,P01,C03,8,other,236.74,False
RETURN20240371,2024-07-31,P05,C05,19,changed_mind,418.23,False
RETURN20240372,2024-11-17,P05,C04,9,shipping_damage,213.08,False
RETURN20240373,2024-08-08,P03,C03,8,shipping_damage,193.2,True
RETURN20240374,2024-06-13,P06,C02,18,quality_issue,430.0,False
RETURN20240375,2024-10-01,P03,C01,20,shipping_damage,921.93,True
RETURN20240376,2024-08-26,P03,C05,2,duplicate,80.54,False
RETURN20240377,2024-02-03,P02,C01,18,quality_issue,699.5,False
RETURN20240378,2024-12-27,P02,C01,12,shipping_damage,336.44,True
RETURN20240379,2024-12-31,P05,C04,14,changed_mind,374.45,True
RETURN20240380,2024-12-04,P04,C03,18,shipping_damage,594.12,False
RETURN20240381,2024-03-14,P05,C06,19,quality_issue,465.58,True
RETURN20240382,2024-12-30,P03,C05,4,quality_issue,189.52,False
RETURN20240383,2024-03-23,P06,C02,8,changed_mind,187.25,True
RETURN20240384,2024-11-28,P04,C06,4,quality_issue,203.95,False
RETURN20240385,2024-07-27,P04,C06,16,shipping_damage,396.6,False
RETURN20240386,2024-06-30,P02,C06,14,duplicate,273.09,False
RETURN20240387,2024-07-24,P02,C02,12,quality_issue,324.76,True
RETURN20240388,2024-09-25,P03,C01,20,other,444.93,False
RETURN20240389,2024-02-18,P02,C01,17,shipping_damage,396.61,True
RETURN20240390,2024-10-17,P05,C03,3,changed_mind,65.57,False
RETURN20240391,2024-04-03,P05,C02,12,changed_mind,214.43,True
RETURN20240392,2024-08-13,P06,C02,17,duplicate,148.2,True
RETURN20240393,2024-10-02,P01,C03,10,changed_mind,274.14,True
RETURN20240394,2024-02-21,P04,C02,20,other,965.87,False
RETURN20240395,2024-12-03,P05,C04,15,other,176.07,True
RETURN20240396,2024-07-06,P02,C02,16,duplicate,252.67,True
RETURN20240397,2024-09-02,P06,C06,19,other,179.61,False
RETURN20240398,2024-09-26,P05,C05,18,other,364.09,False
RETURN20240399,2024-06-13,P02,C04,7,duplicate,176.89,False
RETURN20240400,2024-02-12,P04,C01,16,other,545.08,False
RETURN20240401,2024-06-05,P04,C03,2,quality_issue,54.08,True
RETURN20240402,2024-06-06,P05,C06,19,shipping_damage,415.75,True
RETURN20240403,2024-01-25,P03,C04,7,other,163.97,False
RETURN20240404,2024-09-17,P05,C02,17,quality_issue,405.29,True
RETURN20240405,2024-08-22,P02,C02,11,changed_mind,289.25,True
RETURN20240406,2024-01-24,P04,C02,4,quality_issue,222.78,False
RETURN20240407,2024-03-31,P04,C02,12,duplicate,286.08,True
